🐉央视频道,#genre#
CCTV4欧洲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4o
CCTV-5体育,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv5
CCTV-5+体育赛事,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv5p
CCTV-6电影,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv6
CCTV-7军事,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv7
CCTV-8电视剧,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv8
CCTV-9记录,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv9
CCTV-10科教,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv10
CCTV-11戏曲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv11
CCTV-12社会与法,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv12
CCTV-13新闻,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv13
CCTV-14少儿,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv14
CCTV-15音乐,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv15
CCTV-17农业农村,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv17
CCTV发现之旅,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=fxzl
CCTV老故事,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lgs
CCTV中学生,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=zxs
CGTN,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtn
CGTN纪录,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtnjl
东方卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dfws
重庆卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cqws
吉林卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jlws
辽宁卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lnws
内蒙古卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=nmws
宁夏卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=nxws
甘肃卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gsws
青海卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=qhws
陕西卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sxws
山东卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sdws
河南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hnws
湖北卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hubws
湖南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hunws
江西卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jxws
江苏卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsws
广东卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gdws
大湾区卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dwqws
海南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hinws
上海第一财经,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dycj
江苏城市,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jscs
江苏综艺,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jszy
江苏影视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsys
江苏公共新闻,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsggxw
江苏国际,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsgj
江苏教育,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsjy
江苏体育休闲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jstyxx
优漫卡通,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ymkt
南京新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njxwzh
南京教科,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njkj
南京十八,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njsb
淮安新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=haxwzh
连云港新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lygxwzh
苏州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=szxwzh
泰州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=tzxwzh
宿迁新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sqxwzh
徐州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xzxwzh
广东影视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gdys
高清大片,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gqdp
经典深圳旁边电影,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jdxgdy
军事迷必看大片,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsdp
历届春晚回顾,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ljcwhg
咪咕24小时体育台,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=mg24hty
玫瑰轮播台,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=mglbt
全民乒乓,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=qmpp
赛事最经典,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sszjd
体坛名栏汇,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ttmlh
新片放映厅,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xpfyt
CCTV-1综合,http://nctv.top/IDOEPpiryt/migu.php?id=cctv1
CCTV-2财经,http://nctv.top/IDOEPpiryt/migu.php?id=cctv2
CCTV-3综艺,http://nctv.top/IDOEPpiryt/migu.php?id=cctv3
CCTV-4中文国际,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4
CCTV4欧洲,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4o
CCTV-6电影,http://nctv.top/IDOEPpiryt/migu.php?id=cctv6
CCTV-7军事,http://nctv.top/IDOEPpiryt/migu.php?id=cctv7
CCTV-8电视剧,http://nctv.top/IDOEPpiryt/migu.php?id=cctv8
CCTV-9记录,http://nctv.top/IDOEPpiryt/migu.php?id=cctv9
CCTV-10科教,http://nctv.top/IDOEPpiryt/migu.php?id=cctv10
CCTV-12社会与法,http://nctv.top/IDOEPpiryt/migu.php?id=cctv12
CCTV-13新闻,http://nctv.top/IDOEPpiryt/migu.php?id=cctv13
CCTV-14少儿,http://nctv.top/IDOEPpiryt/migu.php?id=cctv14
CCTV-15音乐,http://nctv.top/IDOEPpiryt/migu.php?id=cctv15
CCTV-17农业农村,http://nctv.top/IDOEPpiryt/migu.php?id=cctv17
江苏卫视,http://nctv.top/IDOEPpiryt/migu.php?id=jsws
江西卫视,http://nctv.top/IDOEPpiryt/migu.php?id=jxws
河南卫视,http://nctv.top/IDOEPpiryt/migu.php?id=hnws
陕西卫视,http://nctv.top/IDOEPpiryt/migu.php?id=sxws
大湾区卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dwqws
东南卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dnws
南京科教,http://nctv.top/IDOEPpiryt/migu.php?id=njkj
南京十八频道,http://nctv.top/IDOEPpiryt/migu.php?id=njsb
江苏城市频道,http://nctv.top/IDOEPpiryt/migu.php?id=jscs
江苏国际,http://nctv.top/IDOEPpiryt/migu.php?id=jsgj
江苏教育,http://nctv.top/IDOEPpiryt/migu.php?id=jsjy
江苏影视,http://nctv.top/IDOEPpiryt/migu.php?id=jsys
江苏综艺,http://nctv.top/IDOEPpiryt/migu.php?id=jszy
